Time,Meridien,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,Label
4:00:01,PM,14,1098,4.12,4.88,5.13,0,Critical
4:10:01,PM,9,1067,4.15,3.77,4.33,0,High
4:20:01,PM,10,1067,4.15,3.77,4.33,0,Critical
4:30:01,PM,11,1067,4.15,3.77,4.33,0,Critical
4:40:01,PM,12,1067,4.15,3.77,4.33,0,Critical
4:50:01,PM,13,1067,4.15,3.77,4.33,0,Critical
5:00:01,PM,14,1067,4.15,3.77,4.33,0,Critical
5:10:01,PM,15,1067,4.15,3.77,4.33,0,Critical
5:20:01,PM,16,1067,4.15,3.77,4.33,0,Critical
5:30:01,PM,17,1067,4.15,3.77,4.33,0,Critical
5:40:01,PM,18,1067,4.15,3.77,4.33,0,Critical
5:50:01,PM,19,1067,4.15,3.77,4.33,0,Critical
6:00:01,PM,20,1067,4.15,3.77,4.33,0,Critical
6:10:01,PM,21,1067,4.15,3.77,4.33,0,Severe
6:20:01,PM,22,1067,4.15,3.77,4.33,0,Severe
6:30:01,PM,23,1067,4.15,3.77,4.33,0,Severe
6:40:01,PM,24,1067,4.15,3.77,4.33,0,Severe
6:50:01,PM,25,1067,4.15,3.77,4.33,0,Severe
7:00:01,PM,26,1067,4.15,3.77,4.33,0,Severe
7:10:01,PM,27,1067,4.15,3.77,4.33,0,Severe
7:20:01,PM,28,1067,4.15,3.77,4.33,0,Severe
7:30:01,PM,29,1067,4.15,3.77,4.33,0,Severe
7:40:01,PM,30,1067,4.15,3.77,4.33,0,Severe
7:50:01,PM,31,1067,4.15,3.77,4.33,0,Severe
8:00:01,PM,32,1067,4.15,3.77,4.33,0,Severe
8:10:01,PM,33,1067,4.15,3.77,4.33,0,Severe
8:20:01,PM,34,1067,4.15,3.77,4.33,0,Severe
8:30:01,PM,35,1067,4.15,3.77,4.33,0,Severe
8:40:01,PM,36,1067,4.15,3.77,4.33,0,Severe
8:50:01,PM,37,1067,4.15,3.77,4.33,0,Severe
9:00:01,PM,38,1067,4.15,3.77,4.33,0,Severe
9:10:01,PM,39,1067,4.15,3.77,4.33,0,Severe
9:20:01,PM,40,1067,4.15,3.77,4.33,0,Severe
9:30:01,PM,41,1067,4.15,3.77,4.33,0,Severe
9:40:01,PM,42,1067,4.15,3.77,4.33,0,Severe
9:50:01,PM,43,1067,4.15,3.77,4.33,0,Severe
10:00:01,PM,44,1067,4.15,3.77,4.33,0,Severe
10:10:01,PM,45,1067,4.15,3.77,4.33,0,Severe
10:20:01,PM,46,1067,4.15,3.77,4.33,0,Severe
10:30:01,PM,47,1067,4.15,3.77,4.33,0,Severe
10:40:01,PM,48,1067,4.15,3.77,4.33,0,Severe
10:50:01,PM,49,1067,4.15,3.77,4.33,0,Severe
11:00:01,PM,50,1067,4.15,3.77,4.33,0,Severe
11:10:01,PM,51,1067,4.15,3.77,4.33,0,Severe
11:20:01,PM,52,1067,4.15,3.77,4.33,0,Severe
11:30:01,PM,53,1067,4.15,3.77,4.33,0,Severe
11:40:01,PM,54,1067,4.15,3.77,4.33,0,Severe
11:50:01,PM,55,1067,4.15,3.77,4.33,0,Severe
12:10:01,AM,1,2960,1.21,1.14,1,0,Critical
12:20:01,AM,1,2974,0.73,0.86,0.94,0,Mild
12:30:02,AM,1,2972,0.66,0.9,0.93,0,Mild
3:00:01,PM,1,2979,1.07,0.86,0.8,0,Mild
3:20:01,PM,0,2921,0.75,0.78,0.77,0,Mild
4:30:02,PM,1,2908,0.82,0.78,0.77,0,Mild